r/g,r/b,g/b,label
1.625410427,1.497231239,0.899266097,13
1.57272727,1.46155034,0.899986208,13.1
1.572008112,1.469907034,0.911550811,13.2
1.623399307,1.473325549,0.885802789,13.2
1.503609946,1.368261506,0.893295291,13.43
1.56324984,1.455380405,0.911595434,13.56
1.515354565,1.388980707,0.90049738,13.68
1.563161992,1.46494824,0.902776534,13.84
1.361685872,1.314493599,0.955993814,14.1
1.224880443,1.196229023,0.973352792,14.13
1.299854825,1.254869408,0.946271726,14.27
1.229822161,1.2268351,0.992243948,14.4
1.389279357,1.316410355,0.940216581,14.6
1.178384197,1.114971871,0.943215426,14.6
1.339518106,1.279913583,0.922899862,14.7
1.259879903,1.243168711,0.980518481,14.8
1.234351929,1.183360726,0.954723358,14.87
1.257872175,1.189539279,0.936446181,14.87
1.371942623,1.309090219,0.948565715,15
1.335331939,1.28052904,0.947530132,15
1.378651073,1.318640399,0.944706908,15.2
1.354501096,1.294363027,0.945254089,15.3
1.41866213,1.373689983,0.956960625,15.5
1.380471327,1.323582604,0.94787747,15.6
1.367398613,1.313229216,0.948198034,16.07
1.401863955,1.352489038,0.953038515,16.4
1.370203209,1.377871544,0.995629479,16.4
1.412309224,1.428461456,1.004373351,16.5
1.473786628,1.448982538,0.958134585,16.5
1.432217888,1.40670032,0.967858951,16.8
1.515574519,1.515063518,0.980653089,17
1.488753862,1.456126539,0.962128947,17
1.509909101,1.518487891,0.989725813,17.1
1.452964342,1.437166931,0.977626922,17.2
1.412056375,1.376552809,0.962066208,17.2
1.458846191,1.437686327,0.971912014,17.2
1.451512353,1.438772107,0.978539538,18
1.39565995,1.3548556,0.95774313,18
1.409318951,1.388134258,0.975801119,18
1.484666146,1.449053908,0.961672615,18.1
1.417537638,1.381432681,0.964270938,18.2
1.44541608,1.429859577,0.977083549,18.4
