r,g,b,h,s,v,label
118.3431865,74.01081214,79.76006971,153.4531314,102.8769488,119.209871,13
128.0427493,82.00878028,87.6609996,145.198601,102.1622275,129.3156854,13.1
124.0482579,80.55405888,85.84854242,142.5716993,100.4843548,125.106418,13.2
128.170367,81.1395136,88.51717583,155.0193624,101.6146626,129.0318232,13.2
117.516974,80.92581981,87.67070747,154.9724876,88.7424879,118.1759584,13.43
124.6353834,83.23870034,88.6711247,144.869735,97.01847141,125.7542084,13.56
120.1708619,81.92849588,88.4258011,152.4592493,89.68910159,120.8551933,13.68
125.7587031,80.30677073,85.84177374,144.4420857,104.0543395,127.6270471,13.84
100.9837162,76.42845933,79.37493493,132.2117674,69.41209912,100.3030103,14.1
119.3213435,103.7572323,105.3068716,119.5469151,47.89835533,119.0601132,14.13
98.9013985,78.61430001,81.49275431,137.8136645,65.59253996,99.34467071,14.27
99.73981519,82.41190238,82.67785279,123.0760979,55.51904227,99.30194231,14.4
101.1200063,74.6228641,78.5637234,146.641628,71.52505059,100.3209408,14.6
93.67892343,81.85678467,85.54554849,143.5032325,40.43374112,93.93487968,14.6
97.91852363,73.5414611,76.9577439,138.9495747,75.08895751,98.61889253,14.7
92.49190548,75.43098353,76.27340725,125.2682289,59.41937614,92.24618078,14.8
103.9073968,87.63312102,90.34543353,138.6138357,50.09732899,103.5167417,14.87
103.5714013,84.0161248,88.64871627,152.526458,54.18174275,102.877242,14.87
105.5069552,80.75779188,83.88699343,134.0652859,68.0212513,104.8297091,15
105.9829132,81.00966782,84.6315565,133.989859,66.89001669,105.10677,15
104.1821051,78.06504166,81.85046846,138.9570726,71.6306068,103.3494616,15.2
106.6750543,80.67628723,84.70853827,136.8225945,68.96670221,105.7143486,15.3
100.6121626,73.21267548,76.06613779,132.0741973,76.51331161,99.84573858,15.5
102.046693,75.83098949,79.33088226,137.0695066,72.073908,101.2289989,15.6
111.4094777,82.78615795,86.49436746,145.5952008,71.49443828,110.5691218,16.07
106.6262712,77.57224626,80.82618977,140.8735043,75.41392653,105.790904,16.4
106.667504,79.21091104,79.39781557,113.2789767,75.65586746,106.1125476,16.4
110.8779017,81.80131123,80.76154875,105.6217725,82.51008662,110.432304,16.5
114.0675173,78.04084836,79.23958196,112.5862606,91.42132986,113.3052506,16.5
132.1012231,93.24940259,95.34053052,116.3388365,81.14790111,131.8102233,16.8
127.6676339,85.95236233,86.51860189,97.67386901,91.052397,127.3327937,17
124.7952507,85.6709287,87.59896272,117.3422922,86.45413419,124.472177,17
135.7000206,91.4038891,91.49936865,89.88135334,90.87510878,135.6614684,17.1
127.3371012,89.00507828,90.19224184,108.1348075,83.22974571,127.1448107,17.2
129.4015791,92.77654624,95.39771055,122.7573746,78.03842059,128.9120929,17.2
131.9707993,91.4315641,92.94912761,109.2920961,84.73676533,131.5223453,17.2
107.8670764,76.84990322,77.89600352,109.5018338,82.68876737,107.3330471,18
110.5859034,80.84821285,83.27403812,129.9456326,75.66911587,109.8207889,18
115.3157789,83.81915355,85.23885786,119.6250779,76.87040731,114.7321205,18
117.491582,81.3228447,83.33443122,119.9780982,88.10953936,116.9058559,18.1
117.2041724,84.94915988,87.21267827,126.133153,77.21414782,116.5523267,18.2
109.4301814,78.35073678,79.44390909,111.2205589,81.50586113,108.9568902,18.4
